,n,Re_deep,G_deep_sd,Re_L,G_L_sd,Re_A,G_A_sd
0,500,0.3395198,0.08843814,0.2106999463658408,0.06292649621958889,0.6130328420506662,0.1203409482714981
1,1000,0.26310524,0.049222615,0.15484341701889587,0.03733570793873584,0.38414037536563655,0.05960754769832453
2,2000,0.21622765,0.030758897,0.12151641564674355,0.020544048474360824,0.2671032092490014,0.033991004532423784
