,n,Bias_deep,SSE_deep,ESE_deep,CP_deep,Bias_L,SSE_L,ESE_L,CP_L,Bias_A,SSE_A,ESE_A,CP_A
0,500,0.09794423793332663,0.19580775456731342,0.20737229348801942,0.94,0.04626427161058411,0.1751171476420028,0.1892143426520711,0.955,0.15722474509688,0.20698614286476813,0.20866766988128974,0.875
1,1000,0.04908653694521914,0.10777707659157405,0.11515694832062062,0.94,0.013358763237899085,0.10035214687469406,0.11155338137480603,0.965,0.061885460102570455,0.11357497082643381,0.1257492972839071,0.925
2,2000,0.036458047983313424,0.07683402036322,0.08333922245255504,0.945,0.012147287085965575,0.074635847281464,0.08165132049231703,0.955,0.03700527777755935,0.08048208954609812,0.08477895752895848,0.94
