,n,Bias_deep,SSE_deep,ESE_deep,CP_deep,Bias_L,SSE_L,ESE_L,CP_L,Bias_A,SSE_A,ESE_A,CP_A
0,500,0.09378726046361274,0.2232590132887193,0.2440541707206453,0.945,-0.4874931852197355,0.13640484221426763,0.2761767366825348,0.71,0.1695839416362579,0.24178231066996372,0.24787525545383676,0.9
1,1000,0.05020009839466888,0.13205077741217833,0.13997636455403364,0.95,-0.5240978135497867,0.1476708542766555,0.16892807973257287,0.06,0.0759160020351688,0.13591083923093036,0.14721900273655042,0.925
2,2000,0.04274915432938364,0.08692674242609329,0.09484920068609472,0.94,-0.5000930586846517,0.11406136643040002,0.1092704723606384,0.0,0.054480820218584025,0.09181845901105963,0.10165989174389438,0.935
