,n,Re_deep,G_deep_sd,Re_L,G_L_sd,Re_A,G_A_sd
0,500,0.31066468,0.050455593,0.2593255641942778,0.027070561500937524,0.4691964891676459,0.09671323218365295
1,1000,0.25383264,0.028864956,0.24950668626785635,0.02282422474889647,0.3068483123868969,0.04632877207360092
2,2000,0.21837954,0.01636776,0.24207291982922244,0.016153846171772564,0.2325624390436696,0.02268217927964604
