,n,Bias_deep,SSE_deep,ESE_deep,CP_deep,Bias_L,SSE_L,ESE_L,CP_L,Bias_A,SSE_A,ESE_A,CP_A
0,500,0.035336870915809504,0.226676941081134,0.24067037892458482,0.95,-0.4522047306592626,0.1391084693352839,0.2935429059397904,0.795,0.11488536775350466,0.2533500337604257,0.21853086938094277,0.87
1,1000,-0.009503846473447153,0.15108384465175506,0.15424925685040947,0.96,-0.4487322963032837,0.12756404677324903,0.17896604883189315,0.175,0.005803219782125613,0.18419940251638722,0.14535830046879222,0.895
2,2000,0.004745643177563208,0.09675604676454266,0.10565479630229112,0.96,-0.4594549729738656,0.16381200699801177,0.1174671583003356,0.085,-0.02526349783231263,0.13147950372816392,0.09995459775318494,0.885
