,n,Re_deep,G_deep_sd,Re_L,G_L_sd,Re_A,G_A_sd
0,500,0.27693757,0.036779426,0.3509304520916484,0.029783736231922098,0.5058645092187969,0.34678418514500065
1,1000,0.24147564,0.0252125,0.34722049774330443,0.023619078989161907,0.3096581021082652,0.04661751174798452
2,2000,0.20900401,0.020907672,0.3447040336911844,0.018935432347920327,0.2646941453042646,0.01534572736582378
