,n,Re_deep,G_deep_sd,Re_L,G_L_sd,Re_A,G_A_sd
0,500,0.48491615,0.050633553,0.5700531076130089,0.027672296425987047,0.48248671255303294,0.06338935767585648
1,1000,0.4342571,0.032045078,0.5688414898091335,0.020192107223164495,0.44789223562722263,0.02993463582970493
2,2000,0.3554734,0.034224134,0.5687350593338665,0.014516902574264582,0.4438196513780012,0.02414628118880494
