,n,Bias_deep,SSE_deep,ESE_deep,CP_deep,Bias_L,SSE_L,ESE_L,CP_L,Bias_A,SSE_A,ESE_A,CP_A
0,500,-0.09382576336455106,0.198204018912336,0.21705745689029596,0.955,-0.48535720173346975,0.1364059191288173,0.27915273794704043,0.74,0.056571059736742146,0.22466858058893813,0.2136451479034587,0.905
1,1000,-0.06317018271205344,0.1462115938378526,0.15207450799691355,0.955,-0.4777416862858871,0.12934753448283484,0.1717960105182199,0.085,-0.02815960829841091,0.18701152047380737,0.1420986731966412,0.845
2,2000,-0.005738438801906498,0.10271871516864811,0.11040168700338379,0.95,-0.4842995265455091,0.14531143446750466,0.11291524011264745,0.02,-0.06874608465364185,0.13438944561252542,0.09863207448701788,0.805
